tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129N04921,0,0,0.007026803,0.084541979,I90 WB,William F McClellan Hwy,William F McClellan Hwy,3,40,135.7369686,William F McClellan Hwy
129-04920,1,0.007026803,0.848850403,0.833959784,I90 WB,William F McClellan Hwy,Ted Williams Tunnel Former Toll Booths,3,35,1343.06206,Ted Williams Tunnel Toll
129N04920,2,0.848850403,0.892902372,0.044326277,I90 WB,Ted Williams Tunnel Former Toll Booths,Ted Williams Tunnel,2,25,70.83264048,Ted Williams Tunnel Toll
129-04919,3,0.892902372,0.957157634,0.063449081,I90 WB,Ted Williams Tunnel,Ted Williams Tunnel,2,45,102.2808175,Ted Williams Tunnel
129N04919,4,0.957157634,2.532342374,1.559921584,I90 WB,Ted Williams Tunnel,Ted Williams Tunnel,2,45,2510.888384,Ted Williams Tunnel
129-04918,5,2.532342374,2.585602005,0.053374205,I90 WB,Ted Williams Tunnel,Boston Bypass Rd/Exit 24/Exit 25,2,45,85.77944111,Boston Bypass Rd/Exit 24/Exit 25
129N04918,6,2.585602005,2.939612805,0.351694659,I90 WB,Boston Bypass Rd/Exit 24/Exit 25,Boston Bypass Rd/Exit 24/Exit 25,2,45,567.6404168,Boston Bypass Rd/Exit 24/Exit 25
129-04435,7,2.939612805,3.514644045,0.568752213,I90 WB,Boston Bypas Rd/Exit 24/Exit 25,I-93,2,45,917.2508298,I-93
129N04435,8,3.514644045,3.77789248,0.259674775,I90 WB,I-93,I-93,2,45,419.9182246,I-93
129-04434,9,3.77789248,4.065611087,0.284684422,I90 WB,I-93,Arlington St/Tremont St,3,45,458.8840916,Arlington St/Tremont St
129N04434,10,4.065611087,4.23554939,0.16786352,I90 WB,Arlington St/Tremont St,Arlington St/Tremont St,3,45,270.5247786,Arlington St/Tremont St
129-04433,11,4.23554939,4.362249846,0.124746106,I90 WB,Arlington St/Tremont St,MA-9/Huntington Ave/Stuart St,3,45,201.9717824,RT-9/Huntington Ave/Stuart St
129N04433,12,4.362249846,4.685311757,0.319220541,I90 WB,MA-9/Huntington Ave/Stuart St,MA-9/Huntington Ave/Stuart St,3,45,515.1385034,RT-9/Huntington Ave/Stuart St
129-04432,13,4.685311757,4.992367971,0.303043507,I90 WB,MA-9/Huntington Ave/Stuart St,Massachusetts Ave,4,45,489.6385598,Massachusetts Ave
129N04432,14,4.992367971,5.208011727,0.212784211,I90 WB,Massachusetts Ave,Massachusetts Ave,4,45,344.0363883,Massachusetts Ave
129-04431,15,5.208011727,6.820681966,1.595520298,I90 WB,Massachusetts Ave,Exit 20,4,50,2572.766157,Toll Plaza/Exit 20
129N04431,16,6.820681966,7.092207936,0.270155993,I90 WB,Exit  20,Exit 20,4,30,434.0604344,Toll Plaza/Exit 20
129-04430,17,7.092207936,7.116687338,0.026582554,I90 WB,Exit 20,Exit 20,4,30,39.28925233,Toll Plaza/Exit 18
129N04430,18,7.116687338,7.371532884,0.254089577,I90 WB,Exit 20,Exit 18,4,30,408.0561698,Toll Plaza/Exit 18
129-04429,19,7.371532884,10.00696742,2.603028462,I90 WB,Exit 18,Centre St/Exit 17,4,55,4200.443242,Centre St/Exit 17
129N04429,20,10.00696742,10.55099095,0.537892451,I90 WB,Centre St/Exit 17,Centre St/Exit 17,3,55,867.5294783,Centre St/Exit 17
129-04428,21,10.55099095,12.91408202,2.335423506,I90 WB,Centre St/Exit 17,MA-16/Exit 16,3,55,3768.310086,RT-16/Exit 16
129N04428,22,12.91408202,13.17855197,0.260978255,I90 WB,MA-16/Exit 16,MA-16/Exit 16,3,55,421.539644,RT-16/Exit 16
129-04427,23,13.17855197,14.63784411,1.4423593,I90 WB,MA-16/Exit 16,I-95/Exit 15,3,55,2327.26512,I-95/Toll Plaza/Exit 15
129N04427,24,14.63784411,14.93031503,0.293223713,I90 WB,Exit 15,Exit 14,3,40,473.9421487,I-95/Toll Plaza/Exit 15
129-04426,25,14.93031503,15.1475249,0.214381789,I90 WB,Exit 14,Exit 14,3,55,346.3270372,I-95/RT-128/Exit 14
129N04426,26,15.1475249,15.35738352,0.20750645,I90 WB,Exit 14,Exit 14,3,55,334.2415669,I-95/RT-128/Exit 14
129-04425,27,15.35738352,21.18907593,5.764255908,I90 WB,Exit 14,MA-30/Exit 13,4,65,9298.349312,RT-30/Exit 13
129N04425,28,21.18907593,21.50442702,0.310699781,I90 WB,MA-30/Exit 13,MA-30/Exit 13,3,65,502.8644546,RT-30/Exit 13
129-04424,29,21.50442702,24.1614389,2.62588395,I90 WB,MA-30/Exit 13,Edgell Rd,3,65,4236.090596,Edgell Rd
129N04424,30,24.1614389,24.35343708,0.191033621,I90 WB,Edgell Rd,Edgell Rd,3,65,306.2076314,Edgell Rd
129-04423,31,24.35343708,26.72188303,2.3431102,I90 WB,Edgell Rd,MA-9/Exit 12,3,65,3776.36767,RT-9/Exit 12
129N04423,32,26.72188303,26.9664187,0.241114187,I90 WB,MA-9/Exit 12,MA-9/Exit 12,3,65,389.9400315,RT-9/Exit 12
129-04678,33,26.9664187,31.96464202,4.942950405,I90 WB,MA-9/Exit 12,I-495/Exit 11A,4,65,7969.792042,I-495/Exit 11
129N04678,34,31.96464202,32.22066064,0.252617694,I90 WB,I-495/Exit 11A,I-495/Exit 11A,3,65,408.1531344,I-495/Exit 11
